timestamp,BFR_Target,BFR_Filt,FFR_Target,FFR_Filt,TFR_Target,TFR_Filt,BFL_Target,BFL_Filt,FFL_Target,FFL_Filt,TFL_Target,TFL_Filt,BBR_Target,BBR_Filt,FBR_Target,FBR_Filt,TBR_Target,TBR_Filt,BBL_Target,BBL_Filt,FBL_Target,FBL_Filt,TBL_Target,TBL_Filt
0.01,0.0,0.0,0.0,6.158029665286285e-17,0.0,2.253495497747903e-16,0.0,3.2869122801443784e-17,0.0,0.0,0.0,3.8694702216558533e-17,0.0,2.5384420136698987e-17,0.0,1.61706668070014e-16,0.0,7.660683539871461e-17,0.0,2.304115769811478e-18,0.0,3.8334508135801596e-17,0.0,3.069156889380321e-17
0.02,0.0,-0.020307608153215834,0.0,-0.47327698772084753,0.0,0.4055805015771917,0.0,-0.019926139753533308,0.0,-0.46466097088714087,0.0,0.3992709542488338,0.0,-0.020337628635546823,0.0,-0.41912655428989887,0.0,0.3663695861713386,0.0,-0.0200105366124866,0.0,-0.41054407475223403,0.0,0.3600843180310459
0.03,0.0,-0.054238635585723734,0.0,-0.4250681251767224,0.0,0.30181194547727386,0.0,-0.032590944650856726,0.0,-0.41796011272613404,0.0,0.29674213084412615,0.0,-0.05062618922135432,0.0,-0.37711171282762324,0.0,0.2693018992144528,0.0,-0.036371894583495136,0.0,-0.37003070096859764,0.0,0.26425174805559526
0.04,0.0,-0.06820498839127795,0.0,-1.048291137232916,0.0,0.8711642683737983,0.0,-0.045787327029624236,0.0,-1.0375076559156409,0.0,0.8633410337314892,0.0,-0.06454538770821967,0.0,-0.8885683907917842,0.0,0.7580806149064525,0.0,-0.04972449085910024,0.0,-0.8778432328867188,0.0,0.7502947328611669
0.05,0.0,-0.0814836165196166,0.0,-1.2549861084524303,0.0,1.0831268095472735,0.0,-0.05873984030552122,0.0,-1.2442565215965748,0.0,1.0752877800925087,0.0,-0.07782669054930946,0.0,-1.08189107891603,0.0,0.9606549009831864,0.0,-0.06272742347087235,0.0,-1.0712173075122984,0.0,0.9528494888657427
0.06,0.0,-0.09286644026645359,0.0,-1.3998370251103582,0.0,1.230473199851489,0.0,-0.06988490810219697,0.0,-1.39016953267044,0.0,1.223356142736336,0.0,-0.0892153106187917,0.0,-1.230331153261094,0.0,1.1106237637635696,0.0,-0.07390074583915374,0.0,-1.2207179821694185,0.0,1.1035393634903854
0.07,0.0,-0.1023824545852284,0.0,-1.5028929470199206,0.0,1.3360237416336929,0.0,-0.07921405938425508,0.0,-1.4947121946632436,0.0,1.3299481816452607,0.0,-0.09873573387803661,0.0,-1.3418414619809569,0.0,1.222261284756724,0.0,-0.08324603210910468,0.0,-1.33371332342523,0.0,1.2162179547234377
0.08,0.0,-0.11024177450430489,0.0,-1.5777028350603066,0.0,1.4126643338150537,0.0,-0.08692139425408556,0.0,-1.571013198376808,0.0,1.4076445716619175,0.0,-0.10659723492197501,0.0,-1.425707647252251,0.0,1.3054163833023962,0.0,-0.09096243832392659,0.0,-1.4190681697704697,0.0,1.3004279973307598
0.09,0.0,-0.11666843556454476,0.0,-1.6332537240753724,0.0,1.4687835159134057,0.0,-0.09322008264888025,0.0,-1.6278269253363857,0.0,1.4646632042965955,0.0,-0.11302404939466694,0.0,-1.4890093068714003,0.0,1.367116577004589,0.0,-0.09726659620614257,0.0,-1.483629679126369,0.0,1.3630259340219861
0.1,0.0,-0.12187666825009104,0.0,-1.6754915071810255,0.0,1.510127077846316,0.0,-0.09831697124476342,0.0,-1.6709970292637455,0.0,1.5066724962301705,0.0,-0.11823090803825129,0.0,-1.5369008857842372,0.0,1.4125409635231705,0.0,-0.10236762026812478,0.0,-1.532450377209739,0.0,1.409114129550528
